player_name,tournaments,batting_runs,batting_balls,batting_innings,batting_average,batting_strike_rate,batting_fours,batting_sixes,bowling_wickets,bowling_runs,bowling_overs,bowling_economy,catches,stumpings,run_outs
SR Tendulkar,"ipl,tests,odis",15083,21091,361,46.13,71.51,1849,117,38,2258,472.2,4.78,0,0,0
S Dhawan,"ipl,tests,odis",15657,15981,442,38.95,97.97,1898,239,4,97,17.0,5.71,0,0,0
AN Cook,"ntb,tests,odis",15560,30508,384,42.75,51.0,1788,21,1,7,3.0,2.33,0,0,0
MG Johnson,"ipl,bbl,tests,odis",3141,4654,224,19.27,67.49,335,60,621,16703,4144.7,4.03,0,0,0
KP Pietersen,"ipl,bbl,cpl,psl,ntb,tests,odis",14945,19633,402,40.95,76.12,1589,262,24,1501,314.2,4.78,0,0,0
Shoaib Malik,"ipl,bbl,cpl,psl,ntb,tests,odis",11594,13390,417,33.13,86.59,934,245,188,6936,1471.7,4.71,0,0,0
Babar Azam,"cpl,psl,ntb,tests,odis",15191,18626,365,46.6,81.56,1587,176,2,46,15.0,3.07,0,0,0
KA Pollard,"ipl,bbl,cpl,psl,ntb,odis",10682,8158,473,29.67,130.94,669,673,210,6277,878.2,7.15,0,0,0
JC Buttler,"ipl,bbl,ntb,tests,odis",14762,14360,462,37.0,102.8,1375,499,0,0,0.0,0.0,0,0,0
GJ Maxwell,"ipl,bbl,ntb,tests,odis",10860,7952,435,28.65,136.57,964,489,194,7328,1172.2,6.25,0,0,0
TA Boult,"ipl,bbl,tests,odis",1094,1651,166,13.34,66.26,107,44,674,17941,4385.7,4.09,0,0,0
IR Bell,"bbl,psl,ntb,tests,odis",14377,22923,399,40.05,62.72,1563,116,7,122,23.7,5.15,0,0,0
Q de Kock,"ipl,bbl,cpl,tests,odis",14455,14936,397,38.86,96.78,1599,335,0,0,0.0,0.0,0,0,0
NM Lyon,"bbl,tests,odis",1750,3358,202,12.32,52.11,215,16,634,19732,6151.2,3.21,0,0,0
K Rabada,"ipl,ntb,tests,odis",1719,2831,188,12.55,60.72,185,41,632,14607,3462.7,4.22,0,0,0
Harbhajan Singh,"ipl,tests,odis",3274,4173,257,17.14,78.46,314,103,550,18433,4794.3,3.84,0,0,0
SP Narine,"ipl,bbl,cpl,psl,ntb,tests,odis",3830,2739,294,15.32,139.83,369,236,506,12237,2290.2,5.34,0,0,0
GC Smith,"ipl,ntb,tests,odis",13535,19482,347,41.02,69.47,1625,67,20,1308,286.3,4.57,0,0,0
